observed_at_utc,prompt_tokens,privacy_guard_latency_ms,entity_count,phase,openshell_observed_ms,first_output_elapsed_ms,turn_elapsed_ms
2026-07-28T14:28:52.430Z,48251,17.624,23,baseline,,,
2026-07-28T14:29:37.005Z,51102,12.951,23,baseline,,,
2026-07-28T14:29:53.910Z,51552,11.305,23,baseline,,,
2026-07-28T14:30:03.599Z,52216,14.286,23,baseline,,,
2026-07-28T14:30:09.616Z,52634,11.082,23,baseline,,,
2026-07-28T14:32:44.808Z,53244,20.658,23,baseline,,,
2026-07-28T14:34:57.319Z,62423,13.714,23,baseline,,,
2026-07-28T14:35:06.628Z,63068,17.805,23,baseline,,,
2026-07-28T14:35:13.210Z,63486,17.526,23,baseline,,,
2026-07-28T14:36:05.558Z,64295,25.973,23,baseline,,,
2026-07-28T14:39:49.555Z,76372,18.898,23,baseline,,,
2026-07-28T14:43:07.287Z,77031,18.117,23,baseline,,,
2026-07-28T14:44:51.978Z,82339,26.136,24,baseline,,,
2026-07-28T14:55:59.291Z,83184,36.034,24,baseline,,,
2026-07-28T14:57:22.789Z,88677,20.867,24,baseline,,,
2026-07-28T14:57:37.436Z,89748,18.688,24,baseline,,,
2026-07-28T14:57:45.152Z,89970,20.018,24,baseline,,,
2026-07-28T14:58:06.951Z,90530,21.013,24,baseline,,,
2026-07-28T14:58:20.033Z,91420,21.663,24,baseline,,,
2026-07-28T15:00:36.270Z,92901,22.735,24,baseline,,,
2026-07-28T15:05:37.739Z,93678,35.987,24,baseline,,,
2026-07-28T15:06:38.443Z,95694,25.222,24,baseline,,,
2026-07-28T15:08:19.742Z,96704,30.232,24,baseline,,,
2026-07-28T15:08:33.441Z,96868,27.002,24,baseline,,,
2026-07-28T15:08:51.517Z,97886,30.335,24,baseline,,,
2026-07-28T15:09:14.278Z,98356,24.542,24,baseline,,,
2026-07-28T15:09:41.191Z,99265,35.327,24,baseline,,,
2026-07-28T15:10:11.704Z,101025,34.153,24,baseline,,,
2026-07-28T15:10:39.514Z,101193,23.337,24,baseline,,,
2026-07-28T15:10:55.787Z,102071,26.929,24,baseline,,,
2026-07-28T15:11:05.095Z,102481,23.703,24,baseline,,,
2026-07-28T15:11:52.844Z,104787,29.402,24,baseline,,,
2026-07-28T15:12:09.526Z,105313,31.890,24,baseline,,,
2026-07-28T15:12:15.243Z,105801,35.567,24,baseline,,,
2026-07-28T15:12:18.828Z,105958,39.620,24,baseline,,,
2026-07-28T15:12:21.998Z,106160,33.373,25,baseline,,,
2026-07-28T15:12:34.783Z,106428,24.077,25,baseline,,,
2026-07-28T15:12:40.464Z,106807,47.700,25,baseline,,,
2026-07-28T15:12:43.512Z,106981,43.296,25,baseline,,,
2026-07-28T15:13:14.543Z,107412,27.077,25,baseline,,,
2026-07-28T15:13:19.116Z,107647,32.041,25,baseline,,,
2026-07-28T15:13:30.257Z,108052,38.225,25,baseline,,,
2026-07-28T15:14:50.650Z,108800,36.868,25,baseline,,,
2026-07-28T15:16:10.735Z,114425,32.048,25,baseline,,,
2026-07-28T15:19:26.270Z,114584,32.318,25,baseline,,,
2026-07-28T15:19:40.244Z,115395,24.684,25,baseline,,,
2026-07-28T15:19:57.190Z,115852,39.067,25,baseline,,,
2026-07-28T15:20:22.819Z,117730,42.895,25,baseline,,,
2026-07-28T15:26:43.185Z,120732,36.043,25,baseline,,,
2026-07-28T15:28:43.793Z,122710,47.417,27,baseline,,,
2026-07-28T15:34:42.276Z,127634,38.612,59,baseline,,,
2026-07-28T15:37:03.144Z,136816,49.149,59,baseline,,,
2026-07-28T15:43:12.912Z,143349,41.177,59,baseline,,,
2026-07-28T16:46:47.621Z,323611,93.396,259,pre_compaction,120,13085.000,14496.000
2026-07-28T16:47:02.185Z,324158,96.490,259,pre_compaction,110,26868.000,30972.000
2026-07-28T16:47:33.245Z,325804,95.200,259,pre_compaction,110,13488.000,23734.000
2026-07-28T16:50:37.017Z,329592,91.015,259,pre_compaction,110,46988.000,59311.000
2026-07-28T16:51:36.588Z,656648,160.287,323,pre_compaction,189,60541.000,91668.000
2026-07-28T16:54:02.960Z,665140,164.283,323,pre_compaction,198,22893.000,34883.000
2026-07-28T16:54:38.109Z,963788,220.276,389,pre_compaction,264,13133.000,26286.000
2026-07-28T16:56:39.208Z,965007,216.278,389,pre_compaction,263,20056.000,28635.000
2026-07-28T16:57:08.108Z,1140979,268.666,429,compaction_trigger,344,,
2026-07-28T17:00:21.608Z,228409,54.221,43,context_rebuild,66,9571.000,17892.000
2026-07-28T17:00:39.748Z,428405,103.414,83,context_rebuild,128,6836.000,14623.000
2026-07-28T17:00:54.757Z,628418,196.250,123,context_rebuild,244,7270.000,14525.000
2026-07-28T17:01:09.519Z,801456,176.012,163,context_rebuild,225,16508.000,31315.000
